,region,number_of_cases,number_of_cases_for_10k,date
2025,Kujawsko-pomorskie,863,4.17,2021-03-22
2026,Lubelskie,737,3.5,2021-03-22
2027,Lubuskie,428,4.24,2021-03-22
2028,Łódzkie,1112,4.54,2021-03-22
2029,Małopolskie,1211,3.55,2021-03-22
2030,Mazowieckie,3105,5.72,2021-03-22
2031,Opolskie,316,3.22,2021-03-22
2032,Podkarpackie,721,3.39,2021-03-22
2033,Podlaskie,355,3.02,2021-03-22
2034,Pomorskie,871,3.71,2021-03-22
2035,Śląskie,2023,4.49,2021-03-22
2036,Świętokrzyskie,553,4.5,2021-03-22
2037,Warmińsko-mazurskie,894,6.29,2021-03-22
2038,Wielkopolskie,1420,4.06,2021-03-22
2039,Zachodniopomorskie,402,2.37,2021-03-22
2040,Cały kraj,29978,7.82,2021-03-23
2041,Dolnośląskie,2328,8.03,2021-03-23
2042,Kujawsko-pomorskie,1273,6.15,2021-03-23
2043,Lubelskie,977,4.64,2021-03-23
2044,Lubuskie,749,7.41,2021-03-23
2045,Łódzkie,1934,7.9,2021-03-23
2046,Małopolskie,2608,7.64,2021-03-23
2047,Mazowieckie,4308,7.94,2021-03-23
2048,Opolskie,484,4.93,2021-03-23
2049,Podkarpackie,1451,6.83,2021-03-23
2050,Podlaskie,689,5.86,2021-03-23
2051,Pomorskie,1935,8.25,2021-03-23
2052,Śląskie,4605,10.21,2021-03-23
2053,Świętokrzyskie,691,5.62,2021-03-23
2054,Warmińsko-mazurskie,1155,8.13,2021-03-23
2055,Wielkopolskie,3188,9.11,2021-03-23
2056,Zachodniopomorskie,1096,6.47,2021-03-23
2057,Cały kraj,34151,8.9,2021-03-24
2058,Dolnośląskie,2680,9.25,2021-03-24
2059,Kujawsko-pomorskie,2254,10.89,2021-03-24
2060,Lubelskie,970,4.61,2021-03-24
2061,Lubuskie,936,9.27,2021-03-24
2062,Łódzkie,2109,8.61,2021-03-24
2063,Małopolskie,2919,8.55,2021-03-24
2064,Mazowieckie,5104,9.4,2021-03-24
2065,Opolskie,642,6.55,2021-03-24
2066,Podkarpackie,1498,7.05,2021-03-24
2067,Podlaskie,577,4.9,2021-03-24
2068,Pomorskie,1994,8.5,2021-03-24
2069,Śląskie,5430,12.05,2021-03-24
2070,Świętokrzyskie,1024,8.32,2021-03-24
2071,Warmińsko-mazurskie,1082,7.62,2021-03-24
2072,Wielkopolskie,3334,9.52,2021-03-24
2073,Zachodniopomorskie,1163,6.87,2021-03-24
2074,Cały kraj,35143,9.16,2021-03-25
2075,Dolnośląskie,2876,9.92,2021-03-25
2076,Kujawsko-pomorskie,1940,9.38,2021-03-25
2077,Lubelskie,1073,5.1,2021-03-25
2078,Lubuskie,874,8.65,2021-03-25
2079,Łódzkie,1872,7.64,2021-03-25
2080,Małopolskie,2826,8.28,2021-03-25
2081,Mazowieckie,5264,9.7,2021-03-25
2082,Opolskie,694,7.08,2021-03-25
2083,Podkarpackie,1716,8.07,2021-03-25
2084,Podlaskie,529,4.5,2021-03-25
2085,Pomorskie,2625,11.19,2021-03-25
2086,Śląskie,5095,11.3,2021-03-25
2087,Świętokrzyskie,822,6.68,2021-03-25
2088,Warmińsko-mazurskie,1067,7.51,2021-03-25
2089,Wielkopolskie,4141,11.83,2021-03-25
2090,Zachodniopomorskie,1113,6.57,2021-03-25
2091,Cały kraj,31757,8.28,2021-03-26
2092,Dolnośląskie,2709,9.35,2021-03-26
2093,Kujawsko-pomorskie,1503,7.26,2021-03-26
2094,Lubelskie,1025,4.87,2021-03-26
2095,Lubuskie,840,8.32,2021-03-26
2096,Łódzkie,1694,6.92,2021-03-26
2097,Małopolskie,2725,7.98,2021-03-26
2098,Mazowieckie,5205,9.59,2021-03-26
2099,Opolskie,653,6.66,2021-03-26
2100,Podkarpackie,1480,6.96,2021-03-26
2101,Podlaskie,559,4.75,2021-03-26
2102,Pomorskie,1986,8.46,2021-03-26
2103,Śląskie,5044,11.19,2021-03-26
2104,Świętokrzyskie,939,7.63,2021-03-26
2105,Warmińsko-mazurskie,760,5.35,2021-03-26
2106,Wielkopolskie,3146,8.99,2021-03-26
2107,Zachodniopomorskie,1038,6.13,2021-03-26
2108,Cały kraj,29253,7.63,2021-03-27
2109,Dolnośląskie,2207,7.61,2021-03-27
2110,Kujawsko-pomorskie,1537,7.43,2021-03-27
2111,Lubelskie,860,4.09,2021-03-27
2112,Lubuskie,636,6.3,2021-03-27
2113,Łódzkie,1580,6.45,2021-03-27
2114,Małopolskie,2404,7.04,2021-03-27
2115,Mazowieckie,4652,8.57,2021-03-27
2116,Opolskie,668,6.81,2021-03-27
2117,Podkarpackie,1333,6.27,2021-03-27
2118,Podlaskie,356,3.03,2021-03-27
2119,Pomorskie,1874,7.99,2021-03-27
2120,Śląskie,4647,10.31,2021-03-27
2121,Świętokrzyskie,718,5.84,2021-03-27
2122,Warmińsko-mazurskie,885,6.23,2021-03-27
2123,Wielkopolskie,3652,10.43,2021-03-27
2124,Zachodniopomorskie,872,5.15,2021-03-27
2125,Cały kraj,16965,4.42,2021-03-28
2126,Dolnośląskie,1887,6.51,2021-03-28
2127,Kujawsko-pomorskie,642,3.1,2021-03-28
2128,Lubelskie,373,1.77,2021-03-28
2129,Lubuskie,589,5.83,2021-03-28
2130,Łódzkie,929,3.79,2021-03-28
2131,Małopolskie,1525,4.47,2021-03-28
2132,Mazowieckie,2834,5.22,2021-03-28
2133,Opolskie,448,4.57,2021-03-28
2134,Podkarpackie,614,2.89,2021-03-28
2135,Podlaskie,181,1.54,2021-03-28
2136,Pomorskie,1007,4.29,2021-03-28
2137,Śląskie,2694,5.98,2021-03-28
2138,Świętokrzyskie,585,4.76,2021-03-28
2139,Warmińsko-mazurskie,249,1.75,2021-03-28
2140,Wielkopolskie,1534,4.38,2021-03-28
2141,Zachodniopomorskie,643,3.8,2021-03-28
2142,Cały kraj,20870,5.44,2021-03-29
2143,Dolnośląskie,2110,7.28,2021-03-29
2144,Kujawsko-pomorskie,1181,5.71,2021-03-29
2145,Lubelskie,1010,4.8,2021-03-29
2146,Lubuskie,397,3.93,2021-03-29
2147,Łódzkie,1290,5.27,2021-03-29
2148,Małopolskie,1655,4.85,2021-03-29
2149,Mazowieckie,3572,6.58,2021-03-29
2150,Opolskie,325,3.31,2021-03-29
2151,Podkarpackie,919,4.32,2021-03-29
2152,Podlaskie,349,2.97,2021-03-29
2153,Pomorskie,989,4.21,2021-03-29
2154,Śląskie,2812,6.24,2021-03-29
2155,Świętokrzyskie,551,4.48,2021-03-29
2156,Warmińsko-mazurskie,786,5.53,2021-03-29
2157,Wielkopolskie,1892,5.41,2021-03-29
2158,Zachodniopomorskie,728,4.3,2021-03-29
2159,Cały kraj,32874,8.57,2021-03-30
2160,Dolnośląskie,2826,9.75,2021-03-30
2161,Kujawsko-pomorskie,1659,8.02,2021-03-30
2162,Lubelskie,987,4.69,2021-03-30
2163,Lubuskie,733,7.26,2021-03-30
2164,Łódzkie,1832,7.48,2021-03-30
2165,Małopolskie,2766,8.1,2021-03-30
2166,Mazowieckie,4813,8.87,2021-03-30
2167,Opolskie,641,6.54,2021-03-30
2168,Podkarpackie,1286,6.05,2021-03-30
2169,Podlaskie,672,5.71,2021-03-30
2170,Pomorskie,1433,6.11,2021-03-30
2171,Śląskie,6092,13.51,2021-03-30
2172,Świętokrzyskie,812,6.6,2021-03-30
2173,Warmińsko-mazurskie,908,6.39,2021-03-30
2174,Wielkopolskie,3695,10.56,2021-03-30
2175,Zachodniopomorskie,1330,7.85,2021-03-30
2176,Cały kraj,35251,9.19,2021-03-31
2177,Dolnośląskie,3309,11.42,2021-03-31
2178,Kujawsko-pomorskie,1791,8.66,2021-03-31
2179,Lubelskie,1314,6.25,2021-03-31
2180,Lubuskie,815,8.07,2021-03-31
2181,Łódzkie,2121,8.66,2021-03-31
2182,Małopolskie,3067,8.98,2021-03-31
2183,Mazowieckie,4806,8.85,2021-03-31
2184,Opolskie,807,8.23,2021-03-31
2185,Podkarpackie,1470,6.91,2021-03-31
2186,Podlaskie,508,4.32,2021-03-31
2187,Pomorskie,1873,7.98,2021-03-31
2188,Śląskie,5997,13.3,2021-03-31
2189,Świętokrzyskie,900,7.32,2021-03-31
2190,Warmińsko-mazurskie,935,6.58,2021-03-31
2191,Wielkopolskie,4056,11.59,2021-03-31
2192,Zachodniopomorskie,1074,6.34,2021-03-31
2193,Cały kraj,30546,7.96,2021-04-01
2194,Dolnośląskie,3074,10.61,2021-04-01
2195,Kujawsko-pomorskie,1595,7.71,2021-04-01
2196,Lubelskie,1135,5.4,2021-04-01
2197,Lubuskie,759,7.51,2021-04-01
2198,Łódzkie,1879,7.67,2021-04-01
2199,Małopolskie,2628,7.7,2021-04-01
2200,Mazowieckie,4464,8.22,2021-04-01
2201,Opolskie,711,7.25,2021-04-01
2202,Podkarpackie,1284,6.04,2021-04-01
2203,Podlaskie,447,3.8,2021-04-01
2204,Pomorskie,1335,5.69,2021-04-01
2205,Śląskie,4713,10.45,2021-04-01
2206,Świętokrzyskie,864,7.02,2021-04-01
2207,Warmińsko-mazurskie,662,4.66,2021-04-01
2208,Wielkopolskie,3414,9.75,2021-04-01
2209,Zachodniopomorskie,1184,6.99,2021-04-01
2210,Cały kraj,28073,7.32,2021-04-02
2211,Dolnośląskie,2695,9.3,2021-04-02
2212,Kujawsko-pomorskie,1126,5.44,2021-04-02
2213,Lubelskie,1112,5.29,2021-04-02
2214,Lubuskie,693,6.86,2021-04-02
2215,Łódzkie,1548,6.32,2021-04-02
2216,Małopolskie,2295,6.72,2021-04-02
2217,Mazowieckie,4115,7.58,2021-04-02
2218,Opolskie,611,6.23,2021-04-02
2219,Podkarpackie,1252,5.89,2021-04-02
2220,Podlaskie,438,3.72,2021-04-02
2221,Pomorskie,2018,8.6,2021-04-02
2222,Śląskie,4506,10.0,2021-04-02
2223,Świętokrzyskie,860,6.99,2021-04-02
2224,Warmińsko-mazurskie,742,5.22,2021-04-02
2225,Wielkopolskie,2779,7.94,2021-04-02
2226,Zachodniopomorskie,922,5.45,2021-04-02
2227,Cały kraj,22947,5.98,2021-04-03
2228,Dolnośląskie,2320,8.0,2021-04-03
2229,Kujawsko-pomorskie,1102,5.33,2021-04-03
2230,Lubelskie,635,3.02,2021-04-03
2231,Lubuskie,661,6.54,2021-04-03
2232,Łódzkie,1378,5.63,2021-04-03
2233,Małopolskie,1693,4.96,2021-04-03
2234,Mazowieckie,3564,6.57,2021-04-03
2235,Opolskie,647,6.6,2021-04-03
2236,Podkarpackie,880,4.14,2021-04-03
2237,Podlaskie,356,3.03,2021-04-03
2238,Pomorskie,1273,5.42,2021-04-03
2239,Śląskie,3839,8.52,2021-04-03
2240,Świętokrzyskie,502,4.08,2021-04-03
2241,Warmińsko-mazurskie,502,3.53,2021-04-03
2242,Wielkopolskie,2636,7.53,2021-04-03
2243,Zachodniopomorskie,700,4.13,2021-04-03
2244,Cały kraj,9902,2.58,2021-04-04
2245,Dolnośląskie,986,3.4,2021-04-04
2246,Kujawsko-pomorskie,376,1.82,2021-04-04
2247,Lubelskie,237,1.13,2021-04-04
2248,Lubuskie,267,2.64,2021-04-04
2249,Łódzkie,837,3.42,2021-04-04
2250,Małopolskie,922,2.7,2021-04-04
2251,Mazowieckie,916,1.69,2021-04-04
2252,Opolskie,237,2.42,2021-04-04
2253,Podkarpackie,495,2.33,2021-04-04
2254,Podlaskie,127,1.08,2021-04-04
2255,Pomorskie,550,2.34,2021-04-04
2256,Śląskie,1734,3.85,2021-04-04
2257,Świętokrzyskie,376,3.06,2021-04-04
2258,Warmińsko-mazurskie,127,0.89,2021-04-04
2259,Wielkopolskie,1255,3.59,2021-04-04
2260,Zachodniopomorskie,307,1.81,2021-04-04
2261,Cały kraj,8245,2.15,2021-04-05
2262,Dolnośląskie,591,2.04,2021-04-05
2263,Kujawsko-pomorskie,368,1.78,2021-04-05
2264,Lubelskie,239,1.14,2021-04-05
2265,Lubuskie,205,2.03,2021-04-05
2266,Łódzkie,497,2.03,2021-04-05
2267,Małopolskie,663,1.94,2021-04-05
2268,Mazowieckie,1792,3.3,2021-04-05
2269,Opolskie,209,2.13,2021-04-05
2270,Podkarpackie,334,1.57,2021-04-05
2271,Podlaskie,92,0.78,2021-04-05
2272,Pomorskie,573,2.44,2021-04-05
2273,Śląskie,1228,2.72,2021-04-05
2274,Świętokrzyskie,209,1.7,2021-04-05
2275,Warmińsko-mazurskie,125,0.88,2021-04-05
2276,Wielkopolskie,731,2.09,2021-04-05
2277,Zachodniopomorskie,274,1.62,2021-04-05
2278,Cały kraj,14910,3.89,2021-04-06
2279,Dolnośląskie,1434,4.95,2021-04-06
2280,Kujawsko-pomorskie,776,3.75,2021-04-06
2281,Lubelskie,911,4.33,2021-04-06
2282,Lubuskie,251,2.48,2021-04-06
2283,Łódzkie,1093,4.46,2021-04-06
2284,Małopolskie,1221,3.58,2021-04-06
2285,Mazowieckie,2157,3.97,2021-04-06
2286,Opolskie,256,2.61,2021-04-06
2287,Podkarpackie,482,2.27,2021-04-06
2288,Podlaskie,277,2.35,2021-04-06
2289,Pomorskie,730,3.11,2021-04-06
2290,Śląskie,1863,4.13,2021-04-06
2291,Świętokrzyskie,485,3.94,2021-04-06
2292,Warmińsko-mazurskie,532,3.75,2021-04-06
2293,Wielkopolskie,1476,4.22,2021-04-06
2294,Zachodniopomorskie,704,4.16,2021-04-06
2295,Cały kraj,27887,7.27,2021-04-07
2296,Dolnośląskie,2299,7.93,2021-04-07
2297,Kujawsko-pomorskie,1588,7.67,2021-04-07
2298,Lubelskie,1085,5.16,2021-04-07
2299,Lubuskie,558,5.52,2021-04-07
2300,Łódzkie,1908,7.79,2021-04-07
2301,Małopolskie,2813,8.24,2021-04-07
2302,Mazowieckie,3910,7.2,2021-04-07
2303,Opolskie,570,5.81,2021-04-07
2304,Podkarpackie,1060,4.99,2021-04-07
2305,Podlaskie,533,4.53,2021-04-07
2306,Pomorskie,1484,6.32,2021-04-07
2307,Śląskie,4880,10.83,2021-04-07
2308,Świętokrzyskie,721,5.86,2021-04-07
2309,Warmińsko-mazurskie,625,4.4,2021-04-07
2310,Wielkopolskie,2767,7.9,2021-04-07
2311,Zachodniopomorskie,786,4.64,2021-04-07
2312,Cały kraj,28487,7.43,2021-04-08
2313,Dolnośląskie,2872,9.91,2021-04-08
2314,Kujawsko-pomorskie,1442,6.97,2021-04-08
2315,Lubelskie,1065,5.06,2021-04-08
2316,Lubuskie,716,7.09,2021-04-08
2317,Łódzkie,2139,8.74,2021-04-08
2318,Małopolskie,2219,6.5,2021-04-08
2319,Mazowieckie,3676,6.77,2021-04-08
2320,Opolskie,717,7.31,2021-04-08
2321,Podkarpackie,1078,5.07,2021-04-08
2322,Podlaskie,556,4.73,2021-04-08
2323,Pomorskie,1323,5.64,2021-04-08
2324,Śląskie,4686,10.39,2021-04-08
2325,Świętokrzyskie,712,5.79,2021-04-08
2326,Warmińsko-mazurskie,734,5.17,2021-04-08
2327,Wielkopolskie,3285,9.38,2021-04-08
2328,Zachodniopomorskie,999,5.9,2021-04-08
2329,Cały kraj,24856,6.48,2021-04-09
2330,Dolnośląskie,2459,8.48,2021-04-09
2331,Kujawsko-pomorskie,1189,5.75,2021-04-09
2332,Lubelskie,1172,5.57,2021-04-09
2333,Lubuskie,577,5.71,2021-04-09
2334,Łódzkie,1671,6.82,2021-04-09
2335,Małopolskie,2135,6.25,2021-04-09
2336,Mazowieckie,3235,5.96,2021-04-09
2337,Opolskie,734,7.48,2021-04-09
2338,Podkarpackie,1088,5.12,2021-04-09
2339,Podlaskie,507,4.31,2021-04-09
2340,Pomorskie,1214,5.17,2021-04-09
2341,Śląskie,3686,8.18,2021-04-09
2342,Świętokrzyskie,721,5.86,2021-04-09
2343,Warmińsko-mazurskie,702,4.94,2021-04-09
2344,Wielkopolskie,2530,7.23,2021-04-09
2345,Zachodniopomorskie,1008,5.95,2021-04-09
2346,Cały kraj,21703,5.66,2021-04-10
2347,Dolnośląskie,1822,6.29,2021-04-10
2348,Kujawsko-pomorskie,1113,5.38,2021-04-10
2349,Lubelskie,661,3.14,2021-04-10
2350,Lubuskie,514,5.09,2021-04-10
2351,Łódzkie,1676,6.84,2021-04-10
2352,Małopolskie,1870,5.48,2021-04-10
2353,Mazowieckie,3144,5.79,2021-04-10
2354,Opolskie,632,6.44,2021-04-10
2355,Podkarpackie,749,3.52,2021-04-10
2356,Podlaskie,349,2.97,2021-04-10
2357,Pomorskie,1244,5.3,2021-04-10
2358,Śląskie,3496,7.75,2021-04-10
2359,Świętokrzyskie,475,3.86,2021-04-10
2360,Warmińsko-mazurskie,409,2.88,2021-04-10
2361,Wielkopolskie,2567,7.33,2021-04-10
2362,Zachodniopomorskie,701,4.14,2021-04-10
2363,Cały kraj,12013,3.13,2021-04-11
2364,Dolnośląskie,1214,4.19,2021-04-11
2365,Kujawsko-pomorskie,524,2.53,2021-04-11
2366,Lubelskie,357,1.7,2021-04-11
2367,Lubuskie,295,2.92,2021-04-11
2368,Łódzkie,722,2.95,2021-04-11
2369,Małopolskie,1079,3.16,2021-04-11
2370,Mazowieckie,1809,3.33,2021-04-11
2371,Opolskie,293,2.99,2021-04-11
2372,Podkarpackie,623,2.93,2021-04-11
2373,Podlaskie,167,1.42,2021-04-11
2374,Pomorskie,727,3.1,2021-04-11
2375,Śląskie,1831,4.06,2021-04-11
2376,Świętokrzyskie,371,3.02,2021-04-11
2377,Warmińsko-mazurskie,230,1.62,2021-04-11
2378,Wielkopolskie,1125,3.21,2021-04-11
2379,Zachodniopomorskie,484,2.86,2021-04-11
2380,Cały kraj,13227,3.45,2021-04-12
2381,Dolnośląskie,1276,4.4,2021-04-12
2382,Kujawsko-pomorskie,758,3.66,2021-04-12
2383,Lubelskie,817,3.88,2021-04-12
2384,Lubuskie,295,2.92,2021-04-12
2385,Łódzkie,1073,4.38,2021-04-12
2386,Małopolskie,1080,3.16,2021-04-12
2387,Mazowieckie,1766,3.25,2021-04-12
2388,Opolskie,214,2.18,2021-04-12
2389,Podkarpackie,525,2.47,2021-04-12
2390,Podlaskie,264,2.24,2021-04-12
2391,Pomorskie,614,2.62,2021-04-12
2392,Śląskie,1666,3.7,2021-04-12
2393,Świętokrzyskie,487,3.96,2021-04-12
2394,Warmińsko-mazurskie,490,3.45,2021-04-12
2395,Wielkopolskie,1184,3.38,2021-04-12
2396,Zachodniopomorskie,543,3.21,2021-04-12
2397,Cały kraj,21283,5.55,2021-04-13
2398,Dolnośląskie,1710,5.9,2021-04-13
2399,Kujawsko-pomorskie,989,4.78,2021-04-13
2400,Lubelskie,1003,4.77,2021-04-13
2401,Lubuskie,438,4.34,2021-04-13
2402,Łódzkie,1635,6.68,2021-04-13
2403,Małopolskie,1886,5.52,2021-04-13
2404,Mazowieckie,2925,5.39,2021-04-13
2405,Opolskie,499,5.09,2021-04-13
2406,Podkarpackie,818,3.85,2021-04-13
2407,Podlaskie,540,4.59,2021-04-13
2408,Pomorskie,1108,4.72,2021-04-13
2409,Śląskie,3386,7.51,2021-04-13
2410,Świętokrzyskie,547,4.45,2021-04-13
2411,Warmińsko-mazurskie,610,4.29,2021-04-13
2412,Wielkopolskie,2102,6.01,2021-04-13
2413,Zachodniopomorskie,839,4.96,2021-04-13
2414,Cały kraj,21130,5.51,2021-04-14
2415,Dolnośląskie,2277,7.86,2021-04-14
2416,Kujawsko-pomorskie,1085,5.24,2021-04-14
2417,Lubelskie,892,4.24,2021-04-14
2418,Lubuskie,505,5.0,2021-04-14
2419,Łódzkie,1300,5.31,2021-04-14
2420,Małopolskie,1747,5.12,2021-04-14
2421,Mazowieckie,2555,4.71,2021-04-14
2422,Opolskie,638,6.51,2021-04-14
2423,Podkarpackie,923,4.34,2021-04-14
2424,Podlaskie,374,3.18,2021-04-14
2425,Pomorskie,1008,4.3,2021-04-14
2426,Śląskie,3142,6.97,2021-04-14
2427,Świętokrzyskie,659,5.36,2021-04-14
2428,Warmińsko-mazurskie,520,3.66,2021-04-14
2429,Wielkopolskie,2495,7.13,2021-04-14
2430,Zachodniopomorskie,824,4.87,2021-04-14
2431,Cały kraj,17847,4.65,2021-04-15
2432,Dolnośląskie,1748,6.03,2021-04-15
2433,Kujawsko-pomorskie,892,4.31,2021-04-15
2434,Lubelskie,775,3.68,2021-04-15
2435,Lubuskie,441,4.37,2021-04-15
2436,Łódzkie,1386,5.66,2021-04-15
2437,Małopolskie,1440,4.22,2021-04-15
2438,Mazowieckie,2345,4.32,2021-04-15
2439,Opolskie,460,4.69,2021-04-15
2440,Podkarpackie,520,2.45,2021-04-15
2441,Podlaskie,344,2.92,2021-04-15
2442,Pomorskie,867,3.69,2021-04-15
2443,Śląskie,2761,6.12,2021-04-15
2444,Świętokrzyskie,540,4.39,2021-04-15
2445,Warmińsko-mazurskie,481,3.39,2021-04-15
2446,Wielkopolskie,1949,5.57,2021-04-15
2447,Zachodniopomorskie,738,4.36,2021-04-15
2448,Cały kraj,15763,4.11,2021-04-16
2449,Dolnośląskie,1524,5.26,2021-04-16
2450,Kujawsko-pomorskie,780,3.77,2021-04-16
2451,Lubelskie,724,3.44,2021-04-16
2452,Lubuskie,325,3.22,2021-04-16
2453,Łódzkie,1095,4.47,2021-04-16
2454,Małopolskie,1323,3.88,2021-04-16
2455,Mazowieckie,1999,3.68,2021-04-16
2456,Opolskie,351,3.58,2021-04-16
2457,Podkarpackie,552,2.6,2021-04-16
2458,Podlaskie,349,2.97,2021-04-16
2459,Pomorskie,881,3.75,2021-04-16
2460,Śląskie,2691,5.97,2021-04-16
2461,Świętokrzyskie,438,3.56,2021-04-16
2462,Warmińsko-mazurskie,354,2.49,2021-04-16
2463,Wielkopolskie,1575,4.5,2021-04-16
2464,Zachodniopomorskie,641,3.79,2021-04-16
2465,Cały kraj,12153,3.17,2021-04-17
2466,Dolnośląskie,1019,3.52,2021-04-17
2467,Kujawsko-pomorskie,623,3.01,2021-04-17
2468,Lubelskie,477,2.27,2021-04-17
2469,Lubuskie,308,3.05,2021-04-17
2470,Łódzkie,863,3.52,2021-04-17
2471,Małopolskie,1075,3.15,2021-04-17
2472,Mazowieckie,1815,3.34,2021-04-17
2473,Opolskie,407,4.15,2021-04-17
2474,Podkarpackie,418,1.97,2021-04-17
2475,Podlaskie,214,1.82,2021-04-17
2476,Pomorskie,588,2.51,2021-04-17
2477,Śląskie,1896,4.21,2021-04-17
2478,Świętokrzyskie,299,2.43,2021-04-17
2479,Warmińsko-mazurskie,256,1.8,2021-04-17
2480,Wielkopolskie,1390,3.97,2021-04-17
2481,Zachodniopomorskie,345,2.04,2021-04-17
2482,Cały kraj,7283,1.9,2021-04-18
2483,Dolnośląskie,747,2.58,2021-04-18
2484,Kujawsko-pomorskie,342,1.65,2021-04-18
2485,Lubelskie,166,0.79,2021-04-18
2486,Lubuskie,198,1.96,2021-04-18
2487,Łódzkie,414,1.69,2021-04-18
2488,Małopolskie,671,1.97,2021-04-18
2489,Mazowieckie,1100,2.03,2021-04-18
2490,Opolskie,194,1.98,2021-04-18
2491,Podkarpackie,229,1.08,2021-04-18
2492,Podlaskie,135,1.15,2021-04-18
2493,Pomorskie,383,1.63,2021-04-18
2494,Śląskie,1171,2.6,2021-04-18
2495,Świętokrzyskie,249,2.02,2021-04-18
2496,Warmińsko-mazurskie,103,0.73,2021-04-18
2497,Wielkopolskie,720,2.06,2021-04-18
2498,Zachodniopomorskie,356,2.1,2021-04-18
2499,Cały kraj,9246,2.41,2021-04-19
2500,Dolnośląskie,864,2.98,2021-04-19
2501,Kujawsko-pomorskie,545,2.63,2021-04-19
2502,Lubelskie,587,2.79,2021-04-19
2503,Lubuskie,174,1.72,2021-04-19
2504,Łódzkie,713,2.91,2021-04-19
2505,Małopolskie,630,1.85,2021-04-19
2506,Mazowieckie,1248,2.3,2021-04-19
2507,Opolskie,208,2.12,2021-04-19
2508,Podkarpackie,266,1.25,2021-04-19
2509,Podlaskie,142,1.21,2021-04-19
2510,Pomorskie,417,1.78,2021-04-19
2511,Śląskie,1307,2.9,2021-04-19
2512,Świętokrzyskie,321,2.61,2021-04-19
2513,Warmińsko-mazurskie,306,2.15,2021-04-19
2514,Wielkopolskie,885,2.53,2021-04-19
2515,Zachodniopomorskie,490,2.89,2021-04-19
2516,Cały kraj,13926,3.63,2021-04-20
2517,Dolnośląskie,1213,4.18,2021-04-20
2518,Kujawsko-pomorskie,663,3.2,2021-04-20
2519,Lubelskie,604,2.87,2021-04-20
2520,Lubuskie,281,2.78,2021-04-20
2521,Łódzkie,1051,4.29,2021-04-20
2522,Małopolskie,1290,3.78,2021-04-20
2523,Mazowieckie,1615,2.98,2021-04-20
2524,Opolskie,358,3.65,2021-04-20
2525,Podkarpackie,417,1.96,2021-04-20
2526,Podlaskie,260,2.21,2021-04-20
2527,Pomorskie,665,2.83,2021-04-20
2528,Śląskie,2573,5.71,2021-04-20
2529,Świętokrzyskie,371,3.02,2021-04-20
2530,Warmińsko-mazurskie,336,2.37,2021-04-20
2531,Wielkopolskie,1429,4.08,2021-04-20
2532,Zachodniopomorskie,667,3.94,2021-04-20
2533,Cały kraj,12762,3.33,2021-04-21
2534,Dolnośląskie,1376,4.75,2021-04-21
2535,Kujawsko-pomorskie,695,3.36,2021-04-21
2536,Lubelskie,555,2.64,2021-04-21
2537,Lubuskie,351,3.47,2021-04-21
2538,Łódzkie,900,3.68,2021-04-21
2539,Małopolskie,1075,3.15,2021-04-21
2540,Mazowieckie,1397,2.57,2021-04-21
2541,Opolskie,360,3.67,2021-04-21
2542,Podkarpackie,486,2.29,2021-04-21
2543,Podlaskie,220,1.87,2021-04-21
2544,Pomorskie,538,2.29,2021-04-21
2545,Śląskie,2123,4.71,2021-04-21
2546,Świętokrzyskie,400,3.25,2021-04-21
2547,Warmińsko-mazurskie,278,1.96,2021-04-21
2548,Wielkopolskie,1286,3.67,2021-04-21
2549,Zachodniopomorskie,601,3.55,2021-04-21
2550,Cały kraj,10858,2.83,2021-04-22
2551,Dolnośląskie,1179,4.07,2021-04-22
2552,Kujawsko-pomorskie,469,2.27,2021-04-22
2553,Lubelskie,475,2.26,2021-04-22
2554,Lubuskie,251,2.48,2021-04-22
2555,Łódzkie,746,3.05,2021-04-22
2556,Małopolskie,908,2.66,2021-04-22
2557,Mazowieckie,1345,2.48,2021-04-22
2558,Opolskie,293,2.99,2021-04-22
2559,Podkarpackie,333,1.57,2021-04-22
2560,Podlaskie,167,1.42,2021-04-22
2561,Pomorskie,537,2.29,2021-04-22
2562,Śląskie,1736,3.85,2021-04-22
2563,Świętokrzyskie,320,2.6,2021-04-22
2564,Warmińsko-mazurskie,271,1.91,2021-04-22
2565,Wielkopolskie,1216,3.47,2021-04-22
2566,Zachodniopomorskie,521,3.08,2021-04-22
2567,Cały kraj,9505,2.48,2021-04-23
2568,Dolnośląskie,916,3.16,2021-04-23
2569,Kujawsko-pomorskie,443,2.14,2021-04-23
2570,Lubelskie,424,2.02,2021-04-23
2571,Lubuskie,226,2.24,2021-04-23
2572,Łódzkie,693,2.83,2021-04-23
2573,Małopolskie,790,2.31,2021-04-23
2574,Mazowieckie,1237,2.28,2021-04-23
2575,Opolskie,341,3.48,2021-04-23
2576,Podkarpackie,296,1.39,2021-04-23
2577,Podlaskie,172,1.46,2021-04-23
2578,Pomorskie,416,1.77,2021-04-23
2579,Śląskie,1555,3.45,2021-04-23
2580,Świętokrzyskie,327,2.66,2021-04-23
2581,Warmińsko-mazurskie,203,1.43,2021-04-23
2582,Wielkopolskie,962,2.75,2021-04-23
2583,Zachodniopomorskie,404,2.39,2021-04-23
2584,Cały kraj,7219,1.88,2021-04-24
2585,Dolnośląskie,786,2.71,2021-04-24
2586,Kujawsko-pomorskie,316,1.53,2021-04-24
